108.162.241.80 - - [12/Jan/2026:01:01:50 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=IsInGroup&playerid=16&groupid=1200769 HTTP/1.1" 200 239 "-" "Roblox/WinInet"
108.162.241.81 - - [12/Jan/2026:01:01:50 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=16&groupid=1 HTTP/1.1" 200 234 "-" "Roblox/WinInet"
108.162.238.143 - - [12/Jan/2026:01:07:56 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=IsInGroup&playerid=18&groupid=1200769 HTTP/1.1" 200 239 "-" "Roblox/WinInet"
172.69.70.47 - - [12/Jan/2026:01:07:56 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=18&groupid=18 HTTP/1.1" 200 235 "-" "Roblox/WinInet"
172.70.58.146 - - [12/Jan/2026:01:11:45 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=IsInGroup&playerid=1&groupid=1200769 HTTP/1.1" 200 238 "-" "Roblox/WinInet"
172.70.58.146 - - [12/Jan/2026:01:11:45 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=1&groupid=18 HTTP/1.1" 200 234 "-" "Roblox/WinInet"
172.71.31.178 - - [12/Jan/2026:01:23:58 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=-1&groupid=0 HTTP/1.1" 200 234 "-" "Roblox/WinInet"
172.69.70.47 - - [12/Jan/2026:01:23:58 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=IsInGroup&playerid=-1&groupid=1200769 HTTP/1.1" 200 239 "-" "Roblox/WinInet"
104.22.24.159 - - [12/Jan/2026:01:24:28 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=IsInGroup&playerid=18&groupid=1200769 HTTP/1.1" 200 238 "-" "Roblox/WinInet"
104.22.1.5 - - [12/Jan/2026:01:24:28 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=18&groupid=18 HTTP/1.1" 200 235 "-" "Roblox/WinInet"
104.23.245.194 - - [12/Jan/2026:01:33:52 +0000] "GET /Game/LuaWebService/HandleSocialRequest.ashx?method=GetGroupRank&playerid=-1&groupid=0 HTTP/1.1" 200 234 "-" "Roblox/WinInet"
